"spcd","symbol","common","scientific"
6720,"COOC3","Maui mirrorplant","Coprosma ochracea"
6721,"COPU8","pubescent mirrorplant","Coprosma pubens"
6722,"CORH","woodland mirrorplant","Coprosma rhynchocarpa"
6724,"COPRO","mirrorplant","Coprosma spp."
6726,"COWA4","olena","Coprosma waimeae"
7355,"HEME5","thinleaf camasey","Henriettea membranifolia"
7357,"HESQ","jusillo","Henriettea squamulosum"
7359,"HELI9","ufa","Heritiera littoralis"
7360,"HELO12","ufa halemtano","Heritiera longipetiolata"
7362,"HERIT2","Heritiera","Heritiera spp."
7363,"HEMO13","pipi","Hernandia moerenhoutiana"
7364,"HENY","pua, Chinese lantern tree","Hernandia nymphaeifolia"
7365,"HEOV4","Hernandia ovigera","Hernandia ovigera"
7366,"HESO","mago","Hernandia sonora"
7367,"HERNA","Hernandia","Hernandia spp."
7368,"HELA27","Hernandia labyrinthica","Hernandia labyrinthica"
7370,"HEAR9","Lanai island-aster","Hesperomannia arborescens"
7371,"HEAR10","Maui island-aster","Hesperomannia arbuscula"
7372,"HELY","Kauai island-aster","Hesperomannia lydgatei"
7373,"HESPE8","island-aster","Hesperomannia spp."
7374,"HEAR5","toyon","Heteromeles arbutifolia"
7376,"HETER5","toyon","Heteromeles spp."
7377,"HEEL9","palma brava","Heterospathe elata"
7381,"HEBR8","para rubber tree","Hevea brasiliensis"
7384,"HIBO2","hau kuahiwi","Hibiscadelphus bombycinus"
7385,"HICR","lava hau kuahiwi","Hibiscadelphus crucibracteatus"
7386,"HIDI","Kauai hau kuahiwi","Hibiscadelphus distans"
7387,"HIGI","Kilauea hau kuahiwi","Hibiscadelphus giffardianus"
7388,"HIHU","Hualalai hau kuahiwi","Hibiscadelphus hualalaiensis"
7389,"HIPU2","hau kuahiwi","Hibiscadelphus x puakuahiwi"
7390,"HIBIS","hibiscadelphus","Hibiscadelphus spp."
7391,"HIWI","Maui hau kuahiwi","Hibiscadelphus wilderianus"
7392,"HIWO","Woods hau kuahiwi","Hibiscadelphus woodii"
7393,"HIAR","white rosemallow","Hibiscus arnottianus"
7397,"HIBR","Brackenridges rosemallow","Hibiscus brackenridgei"
7401,"HICA6","lemonyellow rosemallow","Hibiscus calyphyllus"
7402,"HICL","red Kauai rosemallow","Hibiscus clayi"
7403,"HIEL","mahoe","Hibiscus elatus"
7404,"HIKO","red rosemallow","Hibiscus kokio"
7407,"HIMA5","largeleaf rosemallow","Hibiscus macrophyllus"
7408,"HIMU3","Dixie rosemallow","Hibiscus mutabilis"
7409,"HIPE3","seaside mahoe","Hibiscus pernambucensis"
7410,"HIRO3","shoeblackplant","Hibiscus rosa-sinensis"
7411,"HIBIS2","rosemallow","Hibiscus spp."
7412,"HITI","sea hibiscus","Hibiscus tiliaceus"
7413,"HIWA","white Kauai rosemallow","Hibiscus waimeae"
7418,"HIRU2","teta de burra cinarron","Hirtella rugosa"
7420,"HITR3","pigeonberry","Hirtella triandra"
7422,"HORA","white cogwood","Homalium racemosum"
7424,"HOWH","Homalium whitmeeanum","Homalium whitmeeanum"
7427,"HOAM2","chemeklachel, eumail","Horsfieldia amklaal"
7428,"HONO2","ersachel","Horsfieldia novoguineensis"
7429,"HONU2","Horsfieldia nunu","Horsfieldia nunu"
7430,"HOPA10","chersachel","Horsfieldia palauensis"
7431,"HORSF2","Horsfieldia","Horsfieldia spp."
7432,"HODU2","Japanese raisintree","Hovenia dulcis"
7433,"HOFO","sentrypalm","Howeia forsteriana"
7434,"HUCR","sandbox tree","Hura crepitans"
7438,"HYCL","cedro macho","Hyeronima clusioides"
7440,"HYLOC","nightblooming cactus","Hylocereus spp."
7441,"HYUN3","nightblooming cactus","Hylocereus undatus"
7442,"HYCO","stinkingtoe","Hymenaea courbaril"
7445,"HYTR","inkwood","Hypelate trifoliata"
7446,"HYLA8","limestone snakevine","Hyperbaena laurifolia"
7448,"HYCA11","Canary Island St. Johnswort","Hypericum canariense"
7453,"ILAN","Hawaii holly","Ilex anomala"
7454,"ILAQ80","English holly","Ilex aquifolium"
8143,"PHGR11","aquilon prieto","Phialanthus grandifolius"
8144,"PHMY","candlewood","Phialanthus myrtilloides"
8146,"PHNI11","Phaleria nisidai","Phaleria nisidai"
8151,"PHCA13","Canary Island date palm","Phoenix canariensis"
8152,"PHDA4","date palm","Phoenix dactylifera"
8153,"PHOEN2","date palm","Phoenix spp."
8154,"PHSY3","date palm","Phoenix sylvestris"
8155,"PHDA5","Chinese photinia","Photinia davidiana"
8156,"PHFR9","Fraser's photinia","Photinia x fraseri"
8157,"PHAC3","Tahitian gooseberry tree","Phyllanthus acidus"
8159,"PHDI10","pamakani mahu","Phyllanthus distichus"
8160,"PHJU2","gamo de costa","Phyllanthus juglandifolius"
8162,"PHOR10","Phyllanthus orbicularis","Phyllanthus orbicularis"
8164,"PIPE","Florida bitterbush","Picramnia pentandra"
8167,"PIEX","bitterwood","Picrasma excelsa"
8169,"PIAC","fustic","Pictetia aculeata"
8171,"PIRA3","aceitillo","Pilocarpus racemosus"
8173,"PIRO6","Royen's tree cactus","Pilosocereus royenii"
8175,"PIDI2","allspice","Pimenta dioica"
8177,"PIRA","bayrumtree","Pimenta racemosa"
8178,"PIRAG","bayrumtree","Pimenta racemosa"
8180,"PIMEN","Pimenta","Pimenta spp."
8181,"PIIN5","chebouch, demailei","Pinanga insignis"
8182,"PIRO2","Indian longleaf pine","Pinus roxburghii"
8183,"PICA18","Caribbean pine","Pinus caribaea"
8184,"PIMA11","Chinese red pine","Pinus massoniana"
8185,"PIME2","Merkus pine","Pinus merkusii"
8186,"PIOO2","ocote chino","Pinus oocarpa"
8187,"PIPA13","Mexican weeping pine","Pinus patula"
8188,"PIPI6","maritime pine","Pinus pinaster"
8189,"PIDE5","Japanese red pine","Pinus densiflora"
8190,"PIAD","higuillo de hoja menuda","Piper aduncum"
8191,"PIAM2","higuillo de limon","Piper amalago"
8192,"PIBL","moth pepper","Piper blattarum"
8193,"PIGL3","Guyanese pepper","Piper glabrescens"
8194,"PIHI2","Jamaican pepper","Piper hispidum"
8195,"PIJA","Caracas pepper","Piper jacquemontianum"
8196,"PIMA4","marigold pepper","Piper marginatum"
8197,"PIPA12","five-needle pine","Pinus parviflora"
8199,"PISW","spanish elder","Piper swartzianum"
8200,"PIBU2","Bunge's pine","Pinus bungeana"
8203,"PIPI7","Italian stone pine","Pinus pinea"
8205,"PIAL2","Waimea pipturus","Pipturus albidus"
8206,"PIAR8","soga","Pipturus argenteus"
8207,"PIPTU","pipturus","Pipturus spp."
8208,"PICA5","stinkwood","Piscidia carthagenensis"
8210,"PISCI","piscidia","Piscidia spp."
8211,"PIAL3","corcho bobo","Pisonia albida"
8212,"PIBR3","Australasian catchbirdtree","Pisonia brunoniana"
8213,"PIGR6","grand devils-claws","Pisonia grandis"
8214,"PISA5","aulu","Pisonia sandwicensis"
987,"COER2","buttonwood-mangrove","Conocarpus erectus"
8216,"PISU","water mampoo","Pisonia subcordata"
8217,"PIUM2","umbrella catchbirdtree","Pisonia umbellifera"
8218,"PIWA2","Kauai catchbirdtree","Pisonia wagneriana"
8219,"PICH4","Chinese pistache","Pistacia chinensis"
8220,"PIDU","monkeypod","Pithecellobium dulce"
8223,"PIUN","catclaw blackbead","Pithecellobium unguis-cati"
8224,"PIMO4","Mona cheesewood, Pittosporum","Pittosporum monae"
8225,"PIFE3","kamal","Pittosporum ferrugineum"
8226,"PIAR4","Hawaii poisonberry tree","Pittosporum argentifolium"
8227,"PICO4","hoawa","Pittosporum confertiflorum"
8228,"PIFL4","Waianae Range cheesewood","Pittosporum flocculosum"
8229,"PIGA2","Waialeale cheesewood","Pittosporum gayanum"
8230,"PIGL4","Koolau Range cheesewood","Pittosporum glabrum"
8231,"PIHA3","hoawa","Pittosporum halophilum"
8232,"PIHA4","Hawaii cheesewood","Pittosporum hawaiiense"
8233,"PIHO","Kona cheesewood","Pittosporum hosmeri"
8234,"PIKA3","Kauai cheesewood","Pittosporum kauaiense"
8235,"PINA","royal cheesewood","Pittosporum napaliense"
8236,"PIPE8","Taiwanese cheesewood","Pittosporum pentandrum"
8238,"PITTO","cheesewood","Pittosporum spp."
8239,"PITE5","cream cheesewood","Pittosporum terminalioides"
8240,"PIUN2","Australian cheesewood","Pittosporum undulatum"
8241,"PIVI5","cape cheesewood","Pittosporum viridiflorum"
8242,"PLGA2","alaa","Planchonella garberi"
8243,"PLGR11","alaa","Planchonella grayana"
8244,"PLLI6","alaa","Planchonella linggensis"
8246,"PLSA9","mamalava","Planchonella samoensis"
8247,"PLANC","Planchonella","Planchonella spp."
8248,"PLTO2","mamalava","Planchonella torricellensis"
8249,"PLOR80","Oriental arborvitae","Platycladus orientalis"
8250,"PLRE4","Hawaii pilo kea","Platydesma remyi"
8251,"PLSP3","Maui pilo kea","Platydesma spathulata"
8252,"PLATY","platydesma","Platydesma spp."
8253,"PLHY3","London planetree","Platanus hybrida"
8254,"PLOR6","Oriental planetree","Platanus orientalis"
8255,"PLMA6","chupa gallo","Pleodendron macranthum"
8256,"PLME9","Mexican sycamore","Platanus mexicana"
8257,"PLAU2","golden hala pepe","Pleomele aurea"
8258,"PLAU5","Maui hala pepe","Pleomele auwahiensis"
8259,"PLFE","Lanai hala pepe","Pleomele fernaldii"
8260,"PLFO2","Waianae Range hala pepe","Pleomele forbesii"
8261,"PLHA3","royal hala pepe","Pleomele halapepe"
8262,"PLHA4","Hawaii hala pepe","Pleomele hawaiiensis"
8263,"PLEOM","hala pepe","Pleomele spp."
8266,"PLAL","nosegaytree","Plumeria alba"
8268,"PLOB2","Singapore graveyard flower","Plumeria obtusa"
8269,"PLOBO","Plumeria obtusa","Plumeria obtusa"
8271,"PLRU2","templetree","Plumeria rubra"
8272,"PLUME","Plumeria","Plumeria spp."
8273,"POCO3","yucca plum pine","Podocarpus coriaceus"
8274,"POMA32","yew plum pine","Podocarpus macrophyllus"
8275,"POFL20","Poitea florida","Poitea florida"
8276,"POPU19","Poitea punicea","Poitea punicea"
8279,"POCO5","violet tree","Polygala cowellii"
8280,"POPE13","crevajosa","Polygala penaea"
8283,"POGR28","bungaruau","Polyscias grandifolia"
8284,"POGU","geranium aralia","Polyscias guilfoylei"
8285,"POMA","Polyscias macgillivrayi","Polyscias macgillivrayi"
8286,"PONO10","bngei","Polyscias nodosa"
6728,"COAL","Spanish elm","Cordia alliodora"
8288,"POSC10","shield aralia","Polyscias scutellaria"
8289,"POLYS4","Polyscias","Polyscias spp."
8290,"POPI12","tava","Pometia pinnata"
8292,"POHO","kattai","Ponapea hosinoi"
8293,"POLE21","Ponapea ledermanniana","Ponapea ledermanniana"
8294,"PONAP","Ponapea","Ponapea spp."
8295,"POPI4","kisaks","Pongamia pinnata"
8296,"POTR4","hardy orange","Poncirus trifoliata"
8297,"POCA43","Abiu","Pouteria caimito"
8298,"POCA6","elangel, chelangel","Pouteria calcarea"
8299,"POCA23","eggfruit","Pouteria campechiana"
8300,"PODI5","cocuyo","Pouteria dictyoneura"
8301,"POHO4","redmammee","Pouteria hotteana"
8302,"POMU6","bullytree","Pouteria multiflora"
8303,"POOB8","lalahag","Pouteria obovata"
8304,"POSA11","alaa","Pouteria sandwicensis"
8305,"POSA13","mammee sapote","Pouteria sapota"
8306,"POUTE","pouteria","Pouteria spp."
8307,"PROB","ahgao","Premna obtusifolia"
8308,"PRPU5","Premna pubescens","Premna pubescens"
8309,"PRSE6","aloalo","Premna serratifolia"
8310,"PREMN","Premna","Premna spp."
8311,"PRACM","Prestoea acuminata","Prestoea acuminata"
8313,"POCA19","Carolina poplar","Populus x canadensis"
8314,"POCA14","gray poplar","Populus x canescens"
8315,"PRAF","Hawaii pritchardia","Pritchardia affinis"
8316,"PRAR2","Maui pritchardia","Pritchardia arecina"
8317,"PRBE","Kilauea pritchardia","Pritchardia beccariana"
8318,"PRFO","Mt. Eke pritchardia","Pritchardia forbesiana"
8319,"PRHA2","Makaleha pritchardia","Pritchardia hardyi"
8320,"PRHI","loulu lelo","Pritchardia hillebrandii"
8321,"PRKA","Waianae Range pritchardia","Pritchardia kaalae"
8322,"PRLA3","Lanai pritchardia","Pritchardia lanaiensis"
8323,"PRLA4","loulu","Pritchardia lanigera"
8324,"PRLI2","Limahuli Valley pritchardia","Pritchardia limahuliensis"
8325,"PRLO2","Molokai pritchardia","Pritchardia lowreyana"
8326,"PRMA5","Koolau Range pritchardia","Pritchardia martii"
8327,"PRMI3","Alakai Swamp pritchardia","Pritchardia minor"
8328,"PRMU3","Kamalo pritchardia","Pritchardia munroi"
8329,"PRPA11","fan palm","Pritchardia pacifica"
8330,"PRPE7","Waioli Valley pritchardia","Pritchardia perlmanii"
8331,"PRRE","Nihoa pritchardia","Pritchardia remota"
8336,"PRSC","lands of papa pritchardia","Pritchardia schattaueri"
8337,"PRITC","pritchardia","Pritchardia spp."
8338,"PRVI2","stickybud pritchardia","Pritchardia viscosa"
8339,"PRWA","poleline pritchardia","Pritchardia waialealeana"
8340,"PRCR2","guasimilla","Prockia crucis"
8341,"PRPE6","fua lole","Procris pedunculata"
8342,"PRCI4","jand","Prosopis cineraria"
8343,"PRJU","mesquite","Prosopis juliflora"
8344,"PRPA4","kiawe","Prosopis pallida"
8345,"PRCA","Carolina laurelcherry","Prunus caroliniana"
8346,"PRMY","West Indian cherry","Prunus myrtifolia"
8347,"PROC","western cherry laurel","Prunus occidentalis"
8348,"PRCE2","cherry plum","Prunus cerasifera"
8349,"PRSEC","Prunus serotina","Prunus serotina"
8351,"PRDU","sweet almond","Prunus dulcis"
8352,"PSSP2","false breadnut","Pseudolmedia spuria"
8353,"PSSA","Florida cherry palm","Pseudophoenix sargentii"
8354,"PSAM","mountain guava","Psidium amplexicaule"
8355,"PSCA","strawberry guava","Psidium cattleianum"
7455,"ILCA","dahoon","Ilex cassine"
8357,"PRYE","Yoshino flowering cherry","Prunus x yedoensis"
8358,"PSLOO","Psidium longipes","Psidium longipes"
8359,"PSSI2","Sintenis' guava","Psidium sintenisii"
8360,"PRSA3","Japanese plum","Prunus salicina"
8361,"PSBE","cachimbo-cumun","Psychotria berteriana"
8362,"PSBR2","palo de cachimbo","Psychotria brachiata"
8363,"PSBR3","Browne's wild coffee","Psychotria brownei"
8364,"PSDO2","Psychotria domingensis","Psychotria domingensis"
8365,"PSFA","Koolau Range wild coffee","Psychotria fauriei"
8366,"PSGR","largeflower wild coffee","Psychotria grandiflora"
8367,"PSGR2","cachimbo grande","Psychotria grandis"
8368,"PSCA18","chimei","Psychotria carolinensis"
8369,"PSGR3","Kauai wild coffee","Psychotria greenwelliae"
8370,"PSHA2","Waianae Range wild coffee","Psychotria hathewayi"
8373,"PSHA3","kopikoula","Psychotria hawaiiensis"
8377,"PSHE2","woodland wild coffee","Psychotria hexandra"
8382,"PSHEO","Oahu wild coffee","Psychotria hexandra"
8386,"PSHO","milolii kopiwai","Psychotria hobdyi"
8387,"PSIN10","matalafi","Psychotria insularum"
8388,"PSKA","kopiko kea","Psychotria kaduana"
8389,"PSMA4","cachimbo de gato","Psychotria maleolens"
8390,"PSYMAR","aplohkateng","Psychotria mariana"
8391,"PSMA5","cachimbo de maricao","Psychotria maricaensis"
8392,"PSMA6","forest wild coffee","Psychotria mariniana"
8393,"PSMA7","opiko","Psychotria mauiensis"
8394,"PSMI","thicket wild coffee","Psychotria microdon"
8395,"PSNU2","floating balsamo","Psychotria nutans"
8397,"PSPU","hairy wild coffee","Psychotria pubescens"
8398,"PSRH2","Psychotria rhombocarpa","Psychotria rhombocarpa"
8399,"PSRO2","Psychotria rotensis","Psychotria rotensis"
8400,"PSYCH","wild coffee","Psychotria spp."
8401,"PSWA2","leatherleaf wild coffee","Psychotria wawrae"
8402,"PSOD","alahee","Psydrax odorata"
8403,"PTTR","common hoptree","Ptelea trifoliata"
8404,"PTKA","Kauai pteralyxia","Pteralyxia kauaiensis"
8405,"PTMA","ridged pteralyxia","Pteralyxia macrocarpa"
8406,"PTERA","pteralyxia","Pteralyxia spp."
8407,"PTIN2","pterocarpus","Pterocarpus indicus"
8408,"PTMA7","Burma padauk","Pterocarpus macrocarpus"
8409,"PTMA3","Malabar kino","Pterocarpus marsupium"
8410,"PTOF","dragonsblood tree","Pterocarpus officinalis"
8411,"PTST80","Chinese wingnut","Pterocarya stenoptera"
8412,"PTLE3","Ptychococcus ledermannianus","Ptychococcus ledermannianus"
8413,"PSCH4","Psychotria cheathamiana","Psychotria cheathamiana"
8415,"PTMA8","Macarthur feather palm","Ptychosperma macarthuri"
8416,"PTPA","chesdbuuch","Ptychosperma palauense"
8418,"PTYCH4","Ptychosperma","Ptychosperma spp."
8419,"PUGR2","pomegranate","Punica granatum"
8420,"PYRUS","pear spp.","Pyrus spp."
8421,"PYCA80","Callery pear","Pyrus calleryana"
8422,"QUTU","swizzlestick tree","Quararibea turbinata"
8423,"PYCO","common pear","Pyrus communis"
8424,"QUSU5","cork oak","Quercus suber"
8425,"RAAC","white indigoberry","Randia aculeata"
8426,"PYPY2","Chinese pear","Pyrus pyrifolia"
8427,"QUAC80","sawtooth oak","Quercus acutissima"
8429,"QUAU","bastard white oak","Quercus austrina"
8215,"PISON","catchbirdtree","Pisonia spp."
8431,"RAVO","poison devils-pepper","Rauvolfia vomitoria"
8432,"RAIN8","omechidel","Rauvolfia insularis"
8433,"RANI2","palo amargo","Rauvolfia nitida"
8434,"RASA3","devils-pepper","Rauvolfia sandwicensis"
8435,"RAUVO","devils-pepper","Rauvolfia spp."
8436,"RAMA7","traveler's tree","Ravenala madagascariensis"
8437,"QUCE","European turkey oak","Quercus cerris"
8438,"QUFU","Texas live oak","Quercus fusiformis"
8439,"RAUR","tortugo prieto","Ravenia urbanii"
8440,"RELA","vi vao","Reynoldsia lanutoensis"
8441,"QUGE2","sand live oak","Quercus geminata"
8442,"RESA","ohe makai","Reynoldsia sandwicensis"
8443,"REYNO","reynoldsia","Reynoldsia spp."
8444,"REGU","guama","Reynosia guama"
8445,"REKR","Krug's darlingplum","Reynosia krugii"
8447,"REUN","sloe","Reynosia uncinata"
8449,"QUHE2","Darlington oak","Quercus hemisphaerica"
8450,"QUIL2","holly oak","Quercus ilex"
8453,"QUPU","pungent oak","Quercus pungens"
8455,"QUTA","lateleaf oak","Quercus tardifolia"
8456,"RHED4","Rheeda","Rheedia edulis"
8457,"QUTO2","Toumey oak","Quercus toumeyi"
8458,"RHAP2","mangle","Rhizophora apiculata"
8459,"QUTU2","Sonoran scrub oak","Quercus turbinella"
8460,"RHLA12","Rhizophora lamarckii","Rhizophora lamarckii"
8461,"QUVA5","sandpaper oak","Quercus vaseyana"
8462,"RHMU","mangle hembra","Rhizophora mucronata"
8463,"RHIZO","mangrove","Rhizophora spp."
8464,"RHST8","Rhizophora stylosa","Rhizophora stylosa"
8465,"RHODO2","rose myrtle","Rhodomyrtus spp."
8466,"RHTO10","Rhodomyrtus tomentosus","Rhodomyrtus tomentosa"
8467,"RHSA2","neneleau","Rhus sandwicensis"
8468,"RHUS","sumac","Rhus spp."
8469,"RHTA","tavai","Rhus taitensis"
8470,"RHLA11","African sumac","Rhus lancea"
8471,"RHCA8","Catawba rosebay","Rhododendron catawbiense"
8472,"RICO3","castorbean","Ricinus communis"
8473,"RICIN","ricinus","Ricinus spp."
8474,"RICA16","Rinorea carolinensis","Rinorea carolinensis"
8475,"RHCO","winged sumac","Rhus copallinum"
8476,"ROAC2","greenheart ebony","Rochefortia acanthophora"
8477,"RHGL","smooth sumac","Rhus glabra"
8478,"ROSP8","Rochefortia spinosa","Rochefortia spinosa"
8479,"RHLA3","prairie sumac","Rhus lanceolata"
8480,"RODE5","Rollinia","Rollinia deliciosa"
8481,"ROMU3","wild sugar apple","Rollinia mucosa"
8483,"ROIN4","cordobancillo","Rondeletia inermis"
8484,"ROPI3","cordobancillo peludo","Rondeletia pilosa"
8485,"ROPO","Juan Tomas","Rondeletia portoricensis"
8486,"ROHI","bristly locust","Robinia hispida"
8487,"QUSIB","bastard oak","Quercus sinuata"
8489,"ROBO","Puerto Rico royal palm","Roystonea borinquena"
8490,"ROEL","Roystonea elata","Roystonea elata"
8491,"ROOL","royal palm","Roystonea oleracea"
8492,"QURO3","robust oak","Quercus robusta"
8494,"SACA","Puerto Rico palmetto","Sabal causiarum"
8495,"SAMI8","dwarf palmetto","Sabal minor"
8499,"SAUM3","white hogwood","Sagraea umbrosa"
8501,"SAHU","Salix humboldtiana","Salix humboldtiana"
8502,"SADI","pussy willow","Salix discolor"
8503,"SAIN13","etkeam, cheskeam","Samadera indica"
8287,"POSA27","tagitagi","Polyscias samoensis"
8505,"SASA10","raintree","Samanea saman"
8506,"SAMAN","raintree","Samanea spp."
8507,"SASI2","Sitka willow","Salix sitchensis"
8508,"SAGO","Goodding's willow","Salix gooddingii"
8509,"SANIC4","common elderberry","Sambucus nigra"
8510,"SAMBU","raintree","Sambucus spp."
8511,"QUGR2","Graves oak","Quercus gravesii"
8512,"QUPO2","Mexican white oak","Quercus polymorpha"
8513,"QUBU2","Buckley oak","Quercus buckleyi"
8514,"QULA","Lacey oak","Quercus laceyi"
8515,"SAKO4","santol, kechapi","Sandoricum koetjape"
8516,"SAEL2","coastal sandalwood","Santalum ellipticum"
8517,"SAFR4","forest sandalwood","Santalum freycinetianum"
8518,"SAAL16","sandalwood","Santalum album"
8519,"SALU2","yellow willow","Salix lutea"
8521,"SAHA3","Haleakala sandalwood","Santalum haleakalae"
8522,"SAPA7","mountain sandalwood","Santalum paniculatum"
8523,"SAPL2","diamondleaf willow","Salix planifolia"
8524,"SASE","silky willow","Salix sericea"
8525,"SASA8","willowleaf sandalwood","Santalum salicifolium"
8526,"SANTA","sandalwood","Santalum spp."
8527,"SANIN2","European black elderberry","Sambucus nigra"
8528,"SAOA3","lonomea","Sapindus oahuense"
8529,"SASA4","wingleaf soapberry","Sapindus saponaria"
8531,"SAPIN","soapberry","Sapindus spp."
8532,"SAVI17","vitiensis","Sapindus vitiensis"
8533,"SAGL5","gumtree","Sapium glandulosum"
8534,"SAIN2","maskerekur","Sapium indicum"
8535,"SALA25","hinchahuevos","Sapium laurifolium"
8536,"SALA8","milktree","Sapium laurocerasus"
8544,"SAPA35","uunu","Sarcopygme pacifica"
8546,"SASE6","amansa guapo","Savia sessiliflora"
8548,"SCCE3","Scaevola, naupaka","Scaevola cerasifolia"
8549,"SCCH3","naupaka kuahiwi","Scaevola chamissoniana"
8550,"SCGA2","mountain naupaka","Scaevola gaudichaudiana"
8551,"SCPR","forest naupaka","Scaevola procera"
8552,"SCAEV","naupaka","Scaevola spp."
8553,"SCKR2","Schefflera kraemeri","Schefflera kraemeri"
8554,"SCFR","Florida boxwood","Schaefferia frutescens"
8555,"SCHAE","schaefferia","Schaefferia spp."
8556,"SADO7","guayabilla","Samyda dodecandra"
8557,"SCGL6","yuquilla","Schefflera gleasonii"
8558,"SCMO10","matchwood","Schefflera morototonii"
8559,"SCSA10","samoensis","Schefflera samoensis"
8560,"SCTA","Toitoi","Scaevola taccada"
