jsp,species,region,source_file_lines,active,notes
16,Western Red Cedar,Pacific Northwest east-side,f_ingy.f:147-148,TRUE,"Distinct coefficient set from the JSP=5 Western Red Cedar model in f_west.f (west-side vs. east-side fits)."
17,Mountain Hemlock,Pacific Northwest east-side,f_ingy.f:162-163,TRUE,""
18,White Pine,Pacific Northwest east-side,f_ingy.f:177-178,TRUE,""
19,Engelmann Spruce,Pacific Northwest east-side,f_ingy.f:192-193,TRUE,"Sub-region override table ESSUB(3) (f_ingy.f:122-124, per NVEL_INVENTORY.md Sec 3.1)."
20,Subalpine Fir,Pacific Northwest east-side,f_ingy.f:214-215,TRUE,""
21,"Balsam Fir (Grand Fir, White Fir, or Subalpine Fir)","British Columbia",f_ingy.f:229-230,TRUE,"Comment: ""BALSAM (GF,WF OR SUBALPINE FIR) B.C."" (f_ingy.f:229)."
22,Ponderosa Pine,"Black Hills National Forest (South Dakota/Wyoming)",f_other.f:682-687,TRUE,"Dispatches via a SEPARATE subroutine, SHP_BH (no JSP argument), selected by sf_shp.f:43 (IF(JSP.EQ.22) CALL SHP_BH). NOTE: f_ingy.f ALSO contains an entry labeled ""C PONDEROSA PINE Central Idaho Taper Project"" at f_ingy.f:244 with its DATA row for F(I,22) commented out (f_ingy.f:245-257) - this f_ingy.f JSP=22 entry is dead/unreachable code, since sf_shp.f only ever routes JSP=11-21 to SHP_C2 (f_ingy.f) and JSP=22 specifically to SHP_BH (f_other.f). Do not confuse the two."
23,Ponderosa Pine,"San Juan National Forest (Colorado)",f_other.f:191-192,TRUE,"SHP_OT dispatch JSP 23-30 at sf_shp.f:31,45 (JRSP=JSP-22 in SHP_OT, f_other.f). Comment: ""Ponderosa Pine - San Juan"" (f_other.f:191)."
24,Engelmann Spruce,"Dixie National Forest (Utah)",f_other.f:206-207,TRUE,"Comment: ""Engelmann Spruce - Dixie"" (f_other.f:206)."
25,Lodgepole Pine,"USFS Region 2 (Rocky Mountain)",f_other.f:222-223,TRUE,"Comment: ""Region 2 Lodgepole Pine"" (f_other.f:222)."
26,Douglas-fir,"USFS Region 2 (Rocky Mountain)",f_other.f:238-239,TRUE,"Comment: ""Region 2 Douglas Fir"" (f_other.f:238)."
27,White Fir,"USFS Region 2 (Rocky Mountain)",f_other.f:253-254,TRUE,"Comment: ""Region 2 White Fir"" (f_other.f:253)."
28,Aspen,"USFS Region 2 (Rocky Mountain)",f_other.f:268-269,TRUE,"Comment: ""Region 2 Aspen"" (f_other.f:268)."
29,Ponderosa Pine,"USFS Region 3 (Southwestern)",f_other.f:282-283,TRUE,"Comment: ""Ponderosa Pine - Region 3"" (f_other.f:282)."
30,NOT DETERMINED,,,, "sf_shp.f:45 dispatches JSP 23-30 to SHP_OT, but SHP_OT's F() coefficient array is dimensioned F(50,7) (f_other.f:184) and its JRSP=JSP-22 mapping (f_other.f:286) only has data rows for JRSP 1-7 (JSP 23-29). JSP=30 would compute JRSP=8, which has no corresponding DATA row in f_other.f - appears to be an unreachable/unused value in the declared JSP 22-30 dispatch range."
31,Alaska (Yellow) Cedar,Alaska,f_alaska.f:37-38,TRUE,"SHP_AK dispatch for JSP>=31 at sf_shp.f:24,47. JRSP=JSP-30 (f_alaska.f:69). ""J. W. Flewelling, July, 1996"" (f_alaska.f:24)."
32,Western Red Cedar,Alaska,f_alaska.f:52-53,TRUE,"Distinct coefficient set from JSP=5 (f_west.f) and JSP=16 (f_ingy.f) Western Red Cedar models."
33,Spruce and Hemlock,Alaska,f_alaska.f:67-68,TRUE,"Comment: ""SPRUCE AND HEMLOCK JSP 33 OR 34"" (f_alaska.f:67); f_alaska.f:71-72 sets JRSP=3 for both JSP=33 and JSP=34, i.e. JSP 33 and 34 share the same model row."
34,Spruce and Hemlock,Alaska,f_alaska.f:67-68,TRUE,"Same model/coefficient row as JSP=33 (see note above); f_alaska.f:71-72 (IF(JRSP.EQ.4) JRSP=3)."
35,"Spruce and Hemlock, second growth",Alaska,f_alaska.f:82-83,TRUE,"Comment: ""SPRUCE AND HEMLOCK Second Growth JSP = 35 OR 36"" (f_alaska.f:82); f_alaska.f:73 sets JRSP=4 for both JSP=35 and JSP=36."
36,"Spruce and Hemlock, second growth",Alaska,f_alaska.f:82-83,TRUE,"Same model/coefficient row as JSP=35 (see note above); f_alaska.f:73 (IF(JRSP.EQ.5.OR.JRSP.EQ.6) JRSP=4)."
