voleq,position1_family_code,forest_or_geoarea,model_mnemonic,species_code,family,profile_based,dispatch_routine,source,notes
101DVEW090,1,01,DVEW,090,direct_volume,FALSE,"R1KEMP (r1kemp.f:2) or R1ALLENB/R1ALLENC (r1allen.f:4,203), by VOLEQ(2:3)",voleqdef.f:208,Direct Volume Estimator; DVEST (dvest.f) dispatches purely on VOLEQ(1:1) to a region-specific combined-variable equation. Literal default-equation / species-validity string in voleqdef.f.
101DVEW108,1,01,DVEW,108,direct_volume,FALSE,"R1KEMP (r1kemp.f:2) or R1ALLENB/R1ALLENC (r1allen.f:4,203), by VOLEQ(2:3)",voleqdef.f:200,Direct Volume Estimator; DVEST (dvest.f) dispatches purely on VOLEQ(1:1) to a region-specific combined-variable equation. Literal default-equation / species-validity string in voleqdef.f.
101DVEW119,1,01,DVEW,119,direct_volume,FALSE,"R1KEMP (r1kemp.f:2) or R1ALLENB/R1ALLENC (r1allen.f:4,203), by VOLEQ(2:3)",voleqdef.f:207,Direct Volume Estimator; DVEST (dvest.f) dispatches purely on VOLEQ(1:1) to a region-specific combined-variable equation. Literal default-equation / species-validity string in voleqdef.f.
101DVEW122,1,01,DVEW,122,direct_volume,FALSE,"R1KEMP (r1kemp.f:2) or R1ALLENB/R1ALLENC (r1allen.f:4,203), by VOLEQ(2:3)",voleqdef.f:203,Direct Volume Estimator; DVEST (dvest.f) dispatches purely on VOLEQ(1:1) to a region-specific combined-variable equation. Literal default-equation / species-validity string in voleqdef.f.
101DVEW202,1,01,DVEW,202,direct_volume,FALSE,"R1KEMP (r1kemp.f:2) or R1ALLENB/R1ALLENC (r1allen.f:4,203), by VOLEQ(2:3)",voleqdef.f:200,Direct Volume Estimator; DVEST (dvest.f) dispatches purely on VOLEQ(1:1) to a region-specific combined-variable equation. Literal default-equation / species-validity string in voleqdef.f.
101DVEW240,1,01,DVEW,240,direct_volume,FALSE,"R1KEMP (r1kemp.f:2) or R1ALLENB/R1ALLENC (r1allen.f:4,203), by VOLEQ(2:3)",voleqdef.f:206,Direct Volume Estimator; DVEST (dvest.f) dispatches purely on VOLEQ(1:1) to a region-specific combined-variable equation. Literal default-equation / species-validity string in voleqdef.f.
101DVEW260,1,01,DVEW,260,direct_volume,FALSE,"R1KEMP (r1kemp.f:2) or R1ALLENB/R1ALLENC (r1allen.f:4,203), by VOLEQ(2:3)",voleqdef.f:205,Direct Volume Estimator; DVEST (dvest.f) dispatches purely on VOLEQ(1:1) to a region-specific combined-variable equation. Literal default-equation / species-validity string in voleqdef.f.
101DVEW375,1,01,DVEW,375,direct_volume,FALSE,"R1KEMP (r1kemp.f:2) or R1ALLENB/R1ALLENC (r1allen.f:4,203), by VOLEQ(2:3)",voleqdef.f:197,Direct Volume Estimator; DVEST (dvest.f) dispatches purely on VOLEQ(1:1) to a region-specific combined-variable equation. Literal default-equation / species-validity string in voleqdef.f.
101DVEW740,1,01,DVEW,740,direct_volume,FALSE,"R1KEMP (r1kemp.f:2) or R1ALLENB/R1ALLENC (r1allen.f:4,203), by VOLEQ(2:3)",voleqdef.f:197,Direct Volume Estimator; DVEST (dvest.f) dispatches purely on VOLEQ(1:1) to a region-specific combined-variable equation. Literal default-equation / species-validity string in voleqdef.f.
101DVEW999,1,01,DVEW,999,direct_volume,FALSE,"R1KEMP (r1kemp.f:2) or R1ALLENB/R1ALLENC (r1allen.f:4,203), by VOLEQ(2:3)",voleqdef.f:204,Direct Volume Estimator; DVEST (dvest.f) dispatches purely on VOLEQ(1:1) to a region-specific combined-variable equation. Literal default-equation / species-validity string in voleqdef.f.
102DVEW017,1,02,DVEW,017,direct_volume,FALSE,"R1KEMP (r1kemp.f:2) or R1ALLENB/R1ALLENC (r1allen.f:4,203), by VOLEQ(2:3)",voleqdef.f:192,Direct Volume Estimator; DVEST (dvest.f) dispatches purely on VOLEQ(1:1) to a region-specific combined-variable equation. Literal default-equation / species-validity string in voleqdef.f.
102DVEW019,1,02,DVEW,019,direct_volume,FALSE,"R1KEMP (r1kemp.f:2) or R1ALLENB/R1ALLENC (r1allen.f:4,203), by VOLEQ(2:3)",voleqdef.f:203,Direct Volume Estimator; DVEST (dvest.f) dispatches purely on VOLEQ(1:1) to a region-specific combined-variable equation. Literal default-equation / species-validity string in voleqdef.f.
102DVEW060,1,02,DVEW,060,direct_volume,FALSE,"R1KEMP (r1kemp.f:2) or R1ALLENB/R1ALLENC (r1allen.f:4,203), by VOLEQ(2:3)",voleqdef.f:192,Direct Volume Estimator; DVEST (dvest.f) dispatches purely on VOLEQ(1:1) to a region-specific combined-variable equation. Literal default-equation / species-validity string in voleqdef.f.
102DVEW070,1,02,DVEW,070,direct_volume,FALSE,"R1KEMP (r1kemp.f:2) or R1ALLENB/R1ALLENC (r1allen.f:4,203), by VOLEQ(2:3)",voleqdef.f:206,Direct Volume Estimator; DVEST (dvest.f) dispatches purely on VOLEQ(1:1) to a region-specific combined-variable equation. Literal default-equation / species-validity string in voleqdef.f.
102DVEW073,1,02,DVEW,073,direct_volume,FALSE,"R1KEMP (r1kemp.f:2) or R1ALLENB/R1ALLENC (r1allen.f:4,203), by VOLEQ(2:3)",voleqdef.f:204,Direct Volume Estimator; DVEST (dvest.f) dispatches purely on VOLEQ(1:1) to a region-specific combined-variable equation. Literal default-equation / species-validity string in voleqdef.f.
102DVEW090,1,02,DVEW,090,direct_volume,FALSE,"R1KEMP (r1kemp.f:2) or R1ALLENB/R1ALLENC (r1allen.f:4,203), by VOLEQ(2:3)",voleqdef.f:193,Direct Volume Estimator; DVEST (dvest.f) dispatches purely on VOLEQ(1:1) to a region-specific combined-variable equation. Literal default-equation / species-validity string in voleqdef.f.
102DVEW101,1,02,DVEW,101,direct_volume,FALSE,"R1KEMP (r1kemp.f:2) or R1ALLENB/R1ALLENC (r1allen.f:4,203), by VOLEQ(2:3)",voleqdef.f:205,Direct Volume Estimator; DVEST (dvest.f) dispatches purely on VOLEQ(1:1) to a region-specific combined-variable equation. Literal default-equation / species-validity string in voleqdef.f.
102DVEW106,1,02,DVEW,106,direct_volume,FALSE,"R1KEMP (r1kemp.f:2) or R1ALLENB/R1ALLENC (r1allen.f:4,203), by VOLEQ(2:3)",voleqdef.f:193,Direct Volume Estimator; DVEST (dvest.f) dispatches purely on VOLEQ(1:1) to a region-specific combined-variable equation. Literal default-equation / species-validity string in voleqdef.f.
102DVEW108,1,02,DVEW,108,direct_volume,FALSE,"R1KEMP (r1kemp.f:2) or R1ALLENB/R1ALLENC (r1allen.f:4,203), by VOLEQ(2:3)",voleqdef.f:194,Direct Volume Estimator; DVEST (dvest.f) dispatches purely on VOLEQ(1:1) to a region-specific combined-variable equation. Literal default-equation / species-validity string in voleqdef.f.
102DVEW119,1,02,DVEW,119,direct_volume,FALSE,"R1KEMP (r1kemp.f:2) or R1ALLENB/R1ALLENC (r1allen.f:4,203), by VOLEQ(2:3)",voleqdef.f:207,Direct Volume Estimator; DVEST (dvest.f) dispatches purely on VOLEQ(1:1) to a region-specific combined-variable equation. Literal default-equation / species-validity string in voleqdef.f.
102DVEW122,1,02,DVEW,122,direct_volume,FALSE,"R1KEMP (r1kemp.f:2) or R1ALLENB/R1ALLENC (r1allen.f:4,203), by VOLEQ(2:3)",voleqdef.f:203,Direct Volume Estimator; DVEST (dvest.f) dispatches purely on VOLEQ(1:1) to a region-specific combined-variable equation. Literal default-equation / species-validity string in voleqdef.f.
102DVEW202,1,02,DVEW,202,direct_volume,FALSE,"R1KEMP (r1kemp.f:2) or R1ALLENB/R1ALLENC (r1allen.f:4,203), by VOLEQ(2:3)",voleqdef.f:200,Direct Volume Estimator; DVEST (dvest.f) dispatches purely on VOLEQ(1:1) to a region-specific combined-variable equation. Literal default-equation / species-validity string in voleqdef.f.
102DVEW240,1,02,DVEW,240,direct_volume,FALSE,"R1KEMP (r1kemp.f:2) or R1ALLENB/R1ALLENC (r1allen.f:4,203), by VOLEQ(2:3)",voleqdef.f:207,Direct Volume Estimator; DVEST (dvest.f) dispatches purely on VOLEQ(1:1) to a region-specific combined-variable equation. Literal default-equation / species-validity string in voleqdef.f.
102DVEW260,1,02,DVEW,260,direct_volume,FALSE,"R1KEMP (r1kemp.f:2) or R1ALLENB/R1ALLENC (r1allen.f:4,203), by VOLEQ(2:3)",voleqdef.f:202,Direct Volume Estimator; DVEST (dvest.f) dispatches purely on VOLEQ(1:1) to a region-specific combined-variable equation. Literal default-equation / species-validity string in voleqdef.f.
102DVEW740,1,02,DVEW,740,direct_volume,FALSE,"R1KEMP (r1kemp.f:2) or R1ALLENB/R1ALLENC (r1allen.f:4,203), by VOLEQ(2:3)",voleqdef.f:198,Direct Volume Estimator; DVEST (dvest.f) dispatches purely on VOLEQ(1:1) to a region-specific combined-variable equation. Literal default-equation / species-validity string in voleqdef.f.
102DVEW746,1,02,DVEW,746,direct_volume,FALSE,"R1KEMP (r1kemp.f:2) or R1ALLENB/R1ALLENC (r1allen.f:4,203), by VOLEQ(2:3)",voleqdef.f:198,Direct Volume Estimator; DVEST (dvest.f) dispatches purely on VOLEQ(1:1) to a region-specific combined-variable equation. Literal default-equation / species-validity string in voleqdef.f.
103DVEW108,1,03,DVEW,108,direct_volume,FALSE,"R1KEMP (r1kemp.f:2) or R1ALLENB/R1ALLENC (r1allen.f:4,203), by VOLEQ(2:3)",voleqdef.f:202,Direct Volume Estimator; DVEST (dvest.f) dispatches purely on VOLEQ(1:1) to a region-specific combined-variable equation. Literal default-equation / species-validity string in voleqdef.f.
103DVEW122,1,03,DVEW,122,direct_volume,FALSE,"R1KEMP (r1kemp.f:2) or R1ALLENB/R1ALLENC (r1allen.f:4,203), by VOLEQ(2:3)",voleqdef.f:207,Direct Volume Estimator; DVEST (dvest.f) dispatches purely on VOLEQ(1:1) to a region-specific combined-variable equation. Literal default-equation / species-validity string in voleqdef.f.
103DVEW202,1,03,DVEW,202,direct_volume,FALSE,"R1KEMP (r1kemp.f:2) or R1ALLENB/R1ALLENC (r1allen.f:4,203), by VOLEQ(2:3)",voleqdef.f:201,Direct Volume Estimator; DVEST (dvest.f) dispatches purely on VOLEQ(1:1) to a region-specific combined-variable equation. Literal default-equation / species-validity string in voleqdef.f.
104DVEW108,1,04,DVEW,108,direct_volume,FALSE,"R1KEMP (r1kemp.f:2) or R1ALLENB/R1ALLENC (r1allen.f:4,203), by VOLEQ(2:3)",voleqdef.f:202,Direct Volume Estimator; DVEST (dvest.f) dispatches purely on VOLEQ(1:1) to a region-specific combined-variable equation. Literal default-equation / species-validity string in voleqdef.f.
104DVEW122,1,04,DVEW,122,direct_volume,FALSE,"R1KEMP (r1kemp.f:2) or R1ALLENB/R1ALLENC (r1allen.f:4,203), by VOLEQ(2:3)",voleqdef.f:202,Direct Volume Estimator; DVEST (dvest.f) dispatches purely on VOLEQ(1:1) to a region-specific combined-variable equation. Literal default-equation / species-validity string in voleqdef.f.
105DVEW122,1,05,DVEW,122,direct_volume,FALSE,"R1KEMP (r1kemp.f:2) or R1ALLENB/R1ALLENC (r1allen.f:4,203), by VOLEQ(2:3)",voleqdef.f:203,Direct Volume Estimator; DVEST (dvest.f) dispatches purely on VOLEQ(1:1) to a region-specific combined-variable equation. Literal default-equation / species-validity string in voleqdef.f.
106DVEW122,1,06,DVEW,122,direct_volume,FALSE,"R1KEMP (r1kemp.f:2) or R1ALLENB/R1ALLENC (r1allen.f:4,203), by VOLEQ(2:3)",voleqdef.f:203,Direct Volume Estimator; DVEST (dvest.f) dispatches purely on VOLEQ(1:1) to a region-specific combined-variable equation. Literal default-equation / species-validity string in voleqdef.f.
200CZ2W015,2,00,CZ2W,015,r2_taper,TRUE,"R2TAP (r2tap.f:2), Max & Burkhart or Czaplewski 2pt",voleqdef.f:343,Literal default-equation / species-validity string in voleqdef.f.
200CZ2W019,2,00,CZ2W,019,r2_taper,TRUE,"R2TAP (r2tap.f:2), Max & Burkhart or Czaplewski 2pt",voleqdef.f:342,Literal default-equation / species-validity string in voleqdef.f.
200CZ2W093,2,00,CZ2W,093,r2_taper,TRUE,"R2TAP (r2tap.f:2), Max & Burkhart or Czaplewski 2pt",voleqdef.f:339,Literal default-equation / species-validity string in voleqdef.f.
200CZ2W108,2,00,CZ2W,108,r2_taper,TRUE,"R2TAP (r2tap.f:2), Max & Burkhart or Czaplewski 2pt",voleqdef.f:340,Literal default-equation / species-validity string in voleqdef.f.
200CZ2W122,2,00,CZ2W,122,r2_taper,TRUE,"R2TAP (r2tap.f:2), Max & Burkhart or Czaplewski 2pt",voleqdef.f:341,Literal default-equation / species-validity string in voleqdef.f.
200CZ2W202,2,00,CZ2W,202,r2_taper,TRUE,"R2TAP (r2tap.f:2), Max & Burkhart or Czaplewski 2pt",voleqdef.f:339,Literal default-equation / species-validity string in voleqdef.f.
200CZ2W746,2,00,CZ2W,746,r2_taper,TRUE,"R2TAP (r2tap.f:2), Max & Burkhart or Czaplewski 2pt",voleqdef.f:342,Literal default-equation / species-validity string in voleqdef.f.
200CZ3W015,2,00,CZ3W,015,r2_taper,TRUE,"R2TAP (r2tap.f:2), Czaplewski 3pt",voleqdef.f:344,Literal default-equation / species-validity string in voleqdef.f.
200CZ3W019,2,00,CZ3W,019,r2_taper,TRUE,"R2TAP (r2tap.f:2), Czaplewski 3pt",voleqdef.f:344,Literal default-equation / species-validity string in voleqdef.f.
200CZ3W093,2,00,CZ3W,093,r2_taper,TRUE,"R2TAP (r2tap.f:2), Czaplewski 3pt",voleqdef.f:343,Literal default-equation / species-validity string in voleqdef.f.
200CZ3W108,2,00,CZ3W,108,r2_taper,TRUE,"R2TAP (r2tap.f:2), Czaplewski 3pt",voleqdef.f:343,Literal default-equation / species-validity string in voleqdef.f.
200CZ3W122,2,00,CZ3W,122,r2_taper,TRUE,"R2TAP (r2tap.f:2), Czaplewski 3pt",voleqdef.f:344,Literal default-equation / species-validity string in voleqdef.f.
200CZ3W202,2,00,CZ3W,202,r2_taper,TRUE,"R2TAP (r2tap.f:2), Czaplewski 3pt",voleqdef.f:343,Literal default-equation / species-validity string in voleqdef.f.
200CZ3W746,2,00,CZ3W,746,r2_taper,TRUE,"R2TAP (r2tap.f:2), Czaplewski 3pt",voleqdef.f:344,Literal default-equation / species-validity string in voleqdef.f.
200DVEW015,2,00,DVEW,015,direct_volume,FALSE,R2OLDV (r2oldv.f:2),voleqdef.f:343,Direct Volume Estimator; DVEST (dvest.f) dispatches purely on VOLEQ(1:1) to a region-specific combined-variable equation. Literal default-equation / species-validity string in voleqdef.f.
200DVEW065,2,00,DVEW,065,direct_volume,FALSE,R2OLDV (r2oldv.f:2),voleqdef.f:331,Direct Volume Estimator; DVEST (dvest.f) dispatches purely on VOLEQ(1:1) to a region-specific combined-variable equation. Literal default-equation / species-validity string in voleqdef.f.
200DVEW066,2,00,DVEW,066,direct_volume,FALSE,R2OLDV (r2oldv.f:2),voleqdef.f:331,Direct Volume Estimator; DVEST (dvest.f) dispatches purely on VOLEQ(1:1) to a region-specific combined-variable equation. Literal default-equation / species-validity string in voleqdef.f.
200DVEW069,2,00,DVEW,069,direct_volume,FALSE,R2OLDV (r2oldv.f:2),voleqdef.f:331,Direct Volume Estimator; DVEST (dvest.f) dispatches purely on VOLEQ(1:1) to a region-specific combined-variable equation. Literal default-equation / species-validity string in voleqdef.f.
200DVEW093,2,00,DVEW,093,direct_volume,FALSE,R2OLDV (r2oldv.f:2),voleqdef.f:339,Direct Volume Estimator; DVEST (dvest.f) dispatches purely on VOLEQ(1:1) to a region-specific combined-variable equation. Literal default-equation / species-validity string in voleqdef.f.
200DVEW106,2,00,DVEW,106,direct_volume,FALSE,R2OLDV (r2oldv.f:2),voleqdef.f:333,Direct Volume Estimator; DVEST (dvest.f) dispatches purely on VOLEQ(1:1) to a region-specific combined-variable equation. Literal default-equation / species-validity string in voleqdef.f.
200DVEW108,2,00,DVEW,108,direct_volume,FALSE,R2OLDV (r2oldv.f:2),voleqdef.f:340,Direct Volume Estimator; DVEST (dvest.f) dispatches purely on VOLEQ(1:1) to a region-specific combined-variable equation. Literal default-equation / species-validity string in voleqdef.f.
200DVEW122,2,00,DVEW,122,direct_volume,FALSE,R2OLDV (r2oldv.f:2),voleqdef.f:341,Direct Volume Estimator; DVEST (dvest.f) dispatches purely on VOLEQ(1:1) to a region-specific combined-variable equation. Literal default-equation / species-validity string in voleqdef.f.
200DVEW475,2,00,DVEW,475,direct_volume,FALSE,R2OLDV (r2oldv.f:2),voleqdef.f:336,Direct Volume Estimator; DVEST (dvest.f) dispatches purely on VOLEQ(1:1) to a region-specific combined-variable equation. Literal default-equation / species-validity string in voleqdef.f.
200DVEW746,2,00,DVEW,746,direct_volume,FALSE,R2OLDV (r2oldv.f:2),voleqdef.f:197,Direct Volume Estimator; DVEST (dvest.f) dispatches purely on VOLEQ(1:1) to a region-specific combined-variable equation. Literal default-equation / species-validity string in voleqdef.f.
200DVEW814,2,00,DVEW,814,direct_volume,FALSE,R2OLDV (r2oldv.f:2),voleqdef.f:337,Direct Volume Estimator; DVEST (dvest.f) dispatches purely on VOLEQ(1:1) to a region-specific combined-variable equation. Literal default-equation / species-validity string in voleqdef.f.
200DVEW823,2,00,DVEW,823,direct_volume,FALSE,R2OLDV (r2oldv.f:2),voleqdef.f:337,Direct Volume Estimator; DVEST (dvest.f) dispatches purely on VOLEQ(1:1) to a region-specific combined-variable equation. Literal default-equation / species-validity string in voleqdef.f.
200DVEW998,2,00,DVEW,998,direct_volume,FALSE,R2OLDV (r2oldv.f:2),voleqdef.f:338,Direct Volume Estimator; DVEST (dvest.f) dispatches purely on VOLEQ(1:1) to a region-specific combined-variable equation. Literal default-equation / species-validity string in voleqdef.f.
200FW2W015,2,00,FW2W,015,flewelling_2pt,TRUE,"SF_DS (profile.f TAPERMODEL, VOLEQ(4:4)=F)",voleqdef.f:330,Literal default-equation / species-validity string in voleqdef.f.
200FW2W108,2,00,FW2W,108,flewelling_2pt,TRUE,"SF_DS (profile.f TAPERMODEL, VOLEQ(4:4)=F)",voleqdef.f:333,Literal default-equation / species-validity string in voleqdef.f.
200FW2W122,2,00,FW2W,122,flewelling_2pt,TRUE,"SF_DS (profile.f TAPERMODEL, VOLEQ(4:4)=F)",voleqdef.f:332,Literal default-equation / species-validity string in voleqdef.f.
200FW2W202,2,00,FW2W,202,flewelling_2pt,TRUE,"SF_DS (profile.f TAPERMODEL, VOLEQ(4:4)=F)",voleqdef.f:335,Literal default-equation / species-validity string in voleqdef.f.
200FW2W746,2,00,FW2W,746,flewelling_2pt,TRUE,"SF_DS (profile.f TAPERMODEL, VOLEQ(4:4)=F)",voleqdef.f:336,Literal default-equation / species-validity string in voleqdef.f.
202FW2W108,2,02,FW2W,108,flewelling_2pt,TRUE,"SF_DS (profile.f TAPERMODEL, VOLEQ(4:4)=F)",voleqdef.f:338,Literal default-equation / species-validity string in voleqdef.f.
203CZ2W122,2,03,CZ2W,122,r2_taper,TRUE,"R2TAP (r2tap.f:2), Max & Burkhart or Czaplewski 2pt",voleqdef.f:341,Literal default-equation / species-validity string in voleqdef.f.
203CZ3W122,2,03,CZ3W,122,r2_taper,TRUE,"R2TAP (r2tap.f:2), Czaplewski 3pt",voleqdef.f:344,Literal default-equation / species-validity string in voleqdef.f.
203DVEW122,2,03,DVEW,122,direct_volume,FALSE,R2OLDV (r2oldv.f:2),voleqdef.f:341,Direct Volume Estimator; DVEST (dvest.f) dispatches purely on VOLEQ(1:1) to a region-specific combined-variable equation. Literal default-equation / species-validity string in voleqdef.f.
203FW2W122,2,03,FW2W,122,flewelling_2pt,TRUE,"SF_DS (profile.f TAPERMODEL, VOLEQ(4:4)=F)",voleqdef.f:199,Literal default-equation / species-validity string in voleqdef.f.
210DVEW093,2,10,DVEW,093,direct_volume,FALSE,R2OLDV (r2oldv.f:2),voleqdef.f:339,Direct Volume Estimator; DVEST (dvest.f) dispatches purely on VOLEQ(1:1) to a region-specific combined-variable equation. Literal default-equation / species-validity string in voleqdef.f.
210DVEW108,2,10,DVEW,108,direct_volume,FALSE,R2OLDV (r2oldv.f:2),voleqdef.f:340,Direct Volume Estimator; DVEST (dvest.f) dispatches purely on VOLEQ(1:1) to a region-specific combined-variable equation. Literal default-equation / species-validity string in voleqdef.f.
210DVEW122,2,10,DVEW,122,direct_volume,FALSE,R2OLDV (r2oldv.f:2),voleqdef.f:341,Direct Volume Estimator; DVEST (dvest.f) dispatches purely on VOLEQ(1:1) to a region-specific combined-variable equation. Literal default-equation / species-validity string in voleqdef.f.
210DVEW746,2,10,DVEW,746,direct_volume,FALSE,R2OLDV (r2oldv.f:2),voleqdef.f:342,Direct Volume Estimator; DVEST (dvest.f) dispatches purely on VOLEQ(1:1) to a region-specific combined-variable equation. Literal default-equation / species-validity string in voleqdef.f.
212DVEW122,2,12,DVEW,122,direct_volume,FALSE,R2OLDV (r2oldv.f:2),voleqdef.f:340,Direct Volume Estimator; DVEST (dvest.f) dispatches purely on VOLEQ(1:1) to a region-specific combined-variable equation. Literal default-equation / species-validity string in voleqdef.f.
213DVEW122,2,13,DVEW,122,direct_volume,FALSE,R2OLDV (r2oldv.f:2),voleqdef.f:340,Direct Volume Estimator; DVEST (dvest.f) dispatches purely on VOLEQ(1:1) to a region-specific combined-variable equation. Literal default-equation / species-validity string in voleqdef.f.
213FW2W122,2,13,FW2W,122,flewelling_2pt,TRUE,"SF_DS (profile.f TAPERMODEL, VOLEQ(4:4)=F)",voleqdef.f:338,Literal default-equation / species-validity string in voleqdef.f.
300DVEW060,3,00,DVEW,060,direct_volume,FALSE,R3D2HV (r3d2hv.f:2),voleqdef.f:330,Direct Volume Estimator; DVEST (dvest.f) dispatches purely on VOLEQ(1:1) to a region-specific combined-variable equation. Literal default-equation / species-validity string in voleqdef.f.
300DVEW093,3,00,DVEW,093,direct_volume,FALSE,R3D2HV (r3d2hv.f:2),voleqdef.f:437,Direct Volume Estimator; DVEST (dvest.f) dispatches purely on VOLEQ(1:1) to a region-specific combined-variable equation. Literal default-equation / species-validity string in voleqdef.f.
300DVEW106,3,00,DVEW,106,direct_volume,FALSE,R3D2HV (r3d2hv.f:2),voleqdef.f:334,Direct Volume Estimator; DVEST (dvest.f) dispatches purely on VOLEQ(1:1) to a region-specific combined-variable equation. Literal default-equation / species-validity string in voleqdef.f.
300DVEW113,3,00,DVEW,113,direct_volume,FALSE,R3D2HV (r3d2hv.f:2),voleqdef.f:440,Direct Volume Estimator; DVEST (dvest.f) dispatches purely on VOLEQ(1:1) to a region-specific combined-variable equation. Literal default-equation / species-validity string in voleqdef.f.
300DVEW122,3,00,DVEW,122,direct_volume,FALSE,R3D2HV (r3d2hv.f:2),voleqdef.f:441,Direct Volume Estimator; DVEST (dvest.f) dispatches purely on VOLEQ(1:1) to a region-specific combined-variable equation. Literal default-equation / species-validity string in voleqdef.f.
300DVEW310,3,00,DVEW,310,direct_volume,FALSE,R3D2HV (r3d2hv.f:2),voleqdef.f:443,Direct Volume Estimator; DVEST (dvest.f) dispatches purely on VOLEQ(1:1) to a region-specific combined-variable equation. Literal default-equation / species-validity string in voleqdef.f.
300DVEW314,3,00,DVEW,314,direct_volume,FALSE,R3D2HV (r3d2hv.f:2),voleqdef.f:443,Direct Volume Estimator; DVEST (dvest.f) dispatches purely on VOLEQ(1:1) to a region-specific combined-variable equation. Literal default-equation / species-validity string in voleqdef.f.
300DVEW800,3,00,DVEW,800,direct_volume,FALSE,R3D2HV (r3d2hv.f:2),voleqdef.f:337,Direct Volume Estimator; DVEST (dvest.f) dispatches purely on VOLEQ(1:1) to a region-specific combined-variable equation. Literal default-equation / species-validity string in voleqdef.f.
300DVEW999,3,00,DVEW,999,direct_volume,FALSE,R3D2HV (r3d2hv.f:2),voleqdef.f:335,Direct Volume Estimator; DVEST (dvest.f) dispatches purely on VOLEQ(1:1) to a region-specific combined-variable equation. Literal default-equation / species-validity string in voleqdef.f.
300FW2W122,3,00,FW2W,122,flewelling_2pt,TRUE,"SF_DS (profile.f TAPERMODEL, VOLEQ(4:4)=F)",voleqdef.f:441,Literal default-equation / species-validity string in voleqdef.f.
300FW2W202,3,00,FW2W,202,flewelling_2pt,TRUE,"SF_DS (profile.f TAPERMODEL, VOLEQ(4:4)=F)",voleqdef.f:442,Literal default-equation / species-validity string in voleqdef.f.
301DVEW015,3,01,DVEW,015,direct_volume,FALSE,R3D2HV (r3d2hv.f:2),voleqdef.f:439,Direct Volume Estimator; DVEST (dvest.f) dispatches purely on VOLEQ(1:1) to a region-specific combined-variable equation. Literal default-equation / species-validity string in voleqdef.f.
301DVEW202,3,01,DVEW,202,direct_volume,FALSE,R3D2HV (r3d2hv.f:2),voleqdef.f:440,Direct Volume Estimator; DVEST (dvest.f) dispatches purely on VOLEQ(1:1) to a region-specific combined-variable equation. Literal default-equation / species-validity string in voleqdef.f.
301FW2W015,3,01,FW2W,015,flewelling_2pt,TRUE,"SF_DS (profile.f TAPERMODEL, VOLEQ(4:4)=F)",voleqdef.f:447,Literal default-equation / species-validity string in voleqdef.f.
